county,fips,uranium,log_uranium,county_id,homes
AITKIN              ,27001,0.502054,-0.6890475953544999,1,4
ANOKA               ,27003,0.428565,-0.8473128604997048,2,52
BECKER              ,27005,0.892741,-0.11345877376814012,3,3
BELTRAMI            ,27007,0.552472,-0.5933525256074713,4,7
BENTON              ,27009,0.866849,-0.14289048115302844,5,4
BIG STONE           ,27011,1.47264,0.38705670842480927,6,3
BLUE EARTH          ,27013,1.31208,0.2716136642727164,7,14
BROWN               ,27015,1.31993,0.277578704889093,8,4
CARLTON             ,27017,0.717261,-0.3323154878841331,9,10
CARVER              ,27019,1.10061,0.09586457155536092,10,6
CASS                ,27021,0.544319,-0.6082198069309426,11,5
CHIPPEWA            ,27023,1.3148,0.27368456280792725,12,4
CHISAGO             ,27025,0.479352,-0.7353200871511567,13,6
CLAY                ,27027,1.41027,0.34378117542003134,14,14
CLEARWATER          ,27029,0.941896,-0.05986041389770528,15,4
COOK                ,27031,0.603508,-0.5049959825257828,16,2
COTTONWOOD          ,27033,1.40433,0.33956032072044606,17,4
CROW WING           ,27035,0.530789,-0.6333907001751405,18,12
DAKOTA              ,27037,0.976144,-0.024145162468538463,19,63
DODGE               ,27039,1.30194,0.26385545977521707,20,3
DOUGLAS             ,27041,1.16849,0.15571231697983925,21,9
FARIBAULT           ,27043,1.34316,0.2950250467070394,22,6
FILLMORE            ,27045,1.51424,0.41491366292777554,23,2
FREEBORN            ,27047,1.25133,0.22420698566740638,24,9
GOODHUE             ,27049,1.21727,0.19661064642423215,25,14
HENNEPIN            ,27053,0.907991,-0.09652081232424005,26,105
HOUSTON             ,27055,1.65455,0.5035290685333527,27,6
HUBBARD             ,27057,0.66992,-0.4005969767113039,28,5
ISANTI              ,27059,0.471483,-0.7518722327017873,29,3
ITASCA              ,27061,0.515124,-0.6633476306014291,30,11
JACKSON             ,27063,1.36209,0.30902028483933436,31,5
KANABEC             ,27065,0.948014,-0.053386008903670616,32,4
KANDIYOHI           ,27067,1.11598,0.1097329426515801,33,4
KITTSON             ,27069,0.992227,-0.007803367229841645,34,3
KOOCHICHING         ,27071,0.414025,-0.8818289205065825,35,7
LAC QUI PARLE       ,27073,1.36483,0.31102987875636656,36,2
LAKE                ,27075,0.500776,-0.6915963836672911,37,9
LAKE OF THE WOODS   ,27077,0.505752,-0.6817088484191157,38,4
LE SUEUR            ,27079,1.21464,0.19444773659179515,39,5
LINCOLN             ,27081,1.56034,0.444903746232023,40,4
LYON                ,27083,1.48399,0.39473440617801014,41,8
MAHNOMEN            ,27087,1.16137,0.14960034272844025,42,1
MARSHALL            ,27089,1.01386,0.013764828575713341,43,9
MARTIN              ,27091,1.18041,0.16586183575526953,44,7
MCLEOD              ,27085,1.15076,0.1404225936622486,45,13
MEEKER              ,27093,1.02424,0.023950874155786547,46,5
MILLE LACS          ,27095,0.810536,-0.21005952176628628,47,2
MORRISON            ,27097,0.910987,-0.09322665185692748,48,9
MOWER               ,27099,1.29814,0.26093247070906767,49,13
MURRAY              ,27101,1.49011,0.39884994273575514,50,1
NICOLLET            ,27103,1.28152,0.24804687341109097,51,4
NOBLES              ,27105,1.49998,0.40545177468594146,52,3
NORMAN              ,27107,1.30372,0.265221716521598,53,3
OLMSTED             ,27109,1.27526,0.2431500793898401,54,23
OTTER TAIL          ,27111,0.814867,-0.20473036924229032,55,8
PENNINGTON          ,27113,0.928646,-0.07402766768590431,56,3
PINE                ,27115,0.849343,-0.16329216954729414,57,6
PIPESTONE           ,27117,1.61382,0.4786040394649064,58,4
POLK                ,27119,1.30488,0.2661110825236379,59,4
POPE                ,27121,1.32465,0.2811482736007839,60,2
RAMSEY              ,27123,0.658327,-0.418053510614464,61,32
REDWOOD             ,27127,1.44242,0.36632225859009826,62,5
RENVILLE            ,27129,1.46313,0.3805779766002149,63,3
RICE                ,27131,1.21306,0.19314609287710252,64,11
ROCK                ,27133,1.69558,0.5280248651920556,65,2
ROSEAU              ,27135,0.808928,-0.21204536464817642,66,14
SCOTT               ,27139,1.06515,0.06311563431407531,67,13
SHERBURNE           ,27141,0.504879,-0.6834364823767883,68,8
SIBLEY              ,27143,1.26771,0.23721212323308002,69,4
ST LOUIS            ,27137,0.622088,-0.47467371715050316,70,116
STEARNS             ,27145,1.12344,0.11639540667778776,71,25
STEELE              ,27147,1.30971,0.2698057386604077,72,10
STEVENS             ,27149,1.60124,0.47077832908830686,73,2
SWIFT               ,27151,1.37167,0.31602897559162796,74,4
TODD                ,27153,0.95424,-0.04684006684581817,75,3
TRAVERSE            ,27155,1.64476,0.49759447691684777,76,4
WABASHA             ,27157,1.16193,0.15008241565130426,77,7
WADENA              ,27159,0.510671,-0.6720297317460263,78,5
WASECA              ,27161,1.23666,0.21241419710112402,79,4
WASHINGTON          ,27163,0.862876,-0.14748428304275582,80,46
WATONWAN            ,27165,1.2011,0.1832378035783076,81,3
WILKIN              ,27167,1.26622,0.2360360842961474,82,1
WINONA              ,27169,1.58917,0.46321186735752345,83,13
WRIGHT              ,27171,0.913909,-0.09002427484788668,84,13
YELLOW MEDICINE     ,27173,1.42659,0.35528698116388363,85,2
