state,county,log_uranium,county_code,obs
MN,AITKIN              ,-0.6890475953544999,1,4
MN,ANOKA               ,-0.8473128604997048,2,52
MN,BECKER              ,-0.11345877376814012,3,3
MN,BELTRAMI            ,-0.5933525256074713,4,7
MN,BENTON              ,-0.14289048115302844,5,4
MN,BIG STONE           ,0.38705670842480927,6,3
MN,BLUE EARTH          ,0.2716136642727164,7,14
MN,BROWN               ,0.277578704889093,8,4
MN,CARLTON             ,-0.3323154878841331,9,10
MN,CARVER              ,0.09586457155536092,10,6
MN,CASS                ,-0.6082198069309426,11,5
MN,CHIPPEWA            ,0.27368456280792725,12,4
MN,CHISAGO             ,-0.7353200871511567,13,6
MN,CLAY                ,0.34378117542003134,14,14
MN,CLEARWATER          ,-0.05986041389770528,15,4
MN,COOK                ,-0.5049959825257828,16,2
MN,COTTONWOOD          ,0.33956032072044606,17,4
MN,CROW WING           ,-0.6333907001751405,18,12
MN,DAKOTA              ,-0.024145162468538463,19,63
MN,DODGE               ,0.26385545977521707,20,3
MN,DOUGLAS             ,0.15571231697983925,21,9
MN,FARIBAULT           ,0.2950250467070394,22,6
MN,FILLMORE            ,0.41491366292777554,23,2
MN,FREEBORN            ,0.22420698566740638,24,9
MN,GOODHUE             ,0.19661064642423215,25,14
MN,HENNEPIN            ,-0.09652081232424005,26,105
MN,HOUSTON             ,0.5035290685333527,27,6
MN,HUBBARD             ,-0.4005969767113039,28,5
MN,ISANTI              ,-0.7518722327017873,29,3
MN,ITASCA              ,-0.6633476306014291,30,11
MN,JACKSON             ,0.30902028483933436,31,5
MN,KANABEC             ,-0.053386008903670616,32,4
MN,KANDIYOHI           ,0.1097329426515801,33,4
MN,KITTSON             ,-0.007803367229841645,34,3
MN,KOOCHICHING         ,-0.8818289205065825,35,7
MN,LAC QUI PARLE       ,0.31102987875636656,36,2
MN,LAKE                ,-0.6915963836672911,37,9
MN,LAKE OF THE WOODS   ,-0.6817088484191157,38,4
MN,LE SUEUR            ,0.19444773659179515,39,5
MN,LINCOLN             ,0.444903746232023,40,4
MN,LYON                ,0.39473440617801014,41,8
MN,MAHNOMEN            ,0.14960034272844025,42,1
MN,MARSHALL            ,0.013764828575713341,43,9
MN,MARTIN              ,0.16586183575526953,44,7
MN,MCLEOD              ,0.1404225936622486,45,13
MN,MEEKER              ,0.023950874155786547,46,5
MN,MILLE LACS          ,-0.21005952176628628,47,2
MN,MORRISON            ,-0.09322665185692748,48,9
MN,MOWER               ,0.26093247070906767,49,13
MN,MURRAY              ,0.39884994273575514,50,1
MN,NICOLLET            ,0.24804687341109097,51,4
MN,NOBLES              ,0.40545177468594146,52,3
MN,NORMAN              ,0.265221716521598,53,3
MN,OLMSTED             ,0.2431500793898401,54,23
MN,OTTER TAIL          ,-0.20473036924229032,55,8
MN,PENNINGTON          ,-0.07402766768590431,56,3
MN,PINE                ,-0.16329216954729414,57,6
MN,PIPESTONE           ,0.4786040394649064,58,4
MN,POLK                ,0.2661110825236379,59,4
MN,POPE                ,0.2811482736007839,60,2
MN,RAMSEY              ,-0.418053510614464,61,32
MN,REDWOOD             ,0.36632225859009826,62,5
MN,RENVILLE            ,0.3805779766002149,63,3
MN,RICE                ,0.19314609287710252,64,11
MN,ROCK                ,0.5280248651920556,65,2
MN,ROSEAU              ,-0.21204536464817642,66,14
MN,SCOTT               ,0.06311563431407531,67,13
MN,SHERBURNE           ,-0.6834364823767883,68,8
MN,SIBLEY              ,0.23721212323308002,69,4
MN,ST LOUIS            ,-0.47467371715050316,70,116
MN,STEARNS             ,0.11639540667778776,71,25
MN,STEELE              ,0.2698057386604077,72,10
MN,STEVENS             ,0.47077832908830686,73,2
MN,SWIFT               ,0.31602897559162796,74,4
MN,TODD                ,-0.04684006684581817,75,3
MN,TRAVERSE            ,0.49759447691684777,76,4
MN,WABASHA             ,0.15008241565130426,77,7
MN,WADENA              ,-0.6720297317460263,78,5
MN,WASECA              ,0.21241419710112402,79,4
MN,WASHINGTON          ,-0.14748428304275582,80,46
MN,WATONWAN            ,0.1832378035783076,81,3
MN,WILKIN              ,0.2360360842961474,82,1
MN,WINONA              ,0.46321186735752345,83,13
MN,WRIGHT              ,-0.09002427484788668,84,13
MN,YELLOW MEDICINE     ,0.35528698116388363,85,2
